iter	RMSE
0	0.4178816044
1	0.4087759384
2	0.4008308618
3	0.3935588053
4	0.3869097078
5	0.3809611256
6	0.3755692078
7	0.370983591
8	0.3667319351
9	0.363026673
10	0.3596062588
11	0.3562504339
12	0.3531969106
13	0.3504894793
14	0.3479637835
15	0.3458268953
16	0.3439164451
17	0.3415398221
18	0.3399208139
19	0.3379826477
20	0.3366712283
21	0.3354764505
22	0.3339157674
23	0.332509558
24	0.3316364955
25	0.3302273726
26	0.3290239682
27	0.3283119136
28	0.3276746343
29	0.327032303
30	0.3260382923
31	0.3250470124
32	0.3244804489
33	0.323658483
34	0.3231876315
35	0.3226674633
36	0.3222234657
37	0.3217464047
38	0.3213245809
39	0.3209089977
40	0.320311718
41	0.319792099
42	0.3194972934
43	0.3188114368
44	0.3183636559
45	0.3179663855
46	0.3176971018
47	0.3173645548
48	0.3170054213
49	0.3167800465
50	0.316305476
51	0.3160249099
52	0.3158274903
53	0.3154446319
54	0.3152362317
55	0.3149934096
56	0.3147077637
57	0.3145453432
58	0.3143089186
59	0.314075459
60	0.3139268397
61	0.3137338526
62	0.3135396142
63	0.3133597794
64	0.3131054003
65	0.3129659015
66	0.3127833641
67	0.3126484067
68	0.3125386719
69	0.3123926434
70	0.3122917559
71	0.3121084428
72	0.3119652023
73	0.3118623109
74	0.3117596909
75	0.3115510832
76	0.311447213
77	0.311328127
78	0.3112417414
79	0.3110401126
80	0.3109349469
81	0.3107837466
82	0.3105579736
83	0.310471193
84	0.3103300967
85	0.3101972406
86	0.3101022866
87	0.3099879663
88	0.3098948143
89	0.3097919753
90	0.3097339582
91	0.3096682085
92	0.3095030233
93	0.3093861825
94	0.3093458192
95	0.3092211582
96	0.30916302
97	0.3090643029
98	0.30898858
99	0.308845811
100	0.3087743592
101	0.3086667444
102	0.3085681601
103	0.3084770652
104	0.3084194746
105	0.3083295589
106	0.3082585748
107	0.3081710668
108	0.3080885405
109	0.3080432636
110	0.3079903283
111	0.3079381032
112	0.3078464324
113	0.3077503446
114	0.3075297878
115	0.3073610858
116	0.3073124676
117	0.3072712511
118	0.3071826365
119	0.3071225719
120	0.3070587351
121	0.3069967929
122	0.3069527968
123	0.3069150979
124	0.3068640177
125	0.3067685336
126	0.3067033528
127	0.3064940638
128	0.3063734764
129	0.3062624132
130	0.3061907958
131	0.3061153433
132	0.3060833628
133	0.3060020624
134	0.3059498185
135	0.3057986627
136	0.3056463162
137	0.3055535392
138	0.3055096673
139	0.3054441575
140	0.3052865499
141	0.3051980938
142	0.3051574412
143	0.304976626
144	0.3048646805
145	0.304721318
146	0.3046485864
147	0.3046136861
148	0.3045473345
149	0.3044727967
150	0.3043734044
151	0.304317969
152	0.304239836
153	0.3040980923
154	0.3039709322
155	0.3039402567
156	0.3038819813
157	0.3038134831
158	0.3037506698
159	0.3036549393
160	0.3035931705
161	0.3035503128
162	0.3034834514
163	0.303395091
164	0.3033285569
165	0.3031962328
166	0.3031369621
167	0.3030258984
168	0.3029651317
169	0.3029200516
170	0.3028390944
171	0.3027190427
172	0.3026620019
173	0.3026007193
174	0.3025523464
175	0.302504834
176	0.3024514906
177	0.3024234587
178	0.3023768278
179	0.3023362021
180	0.3022455467
181	0.3021694852
182	0.3019940531
183	0.3018649352
184	0.3017985092
185	0.3017006753
186	0.3016820916
187	0.3016449864
188	0.3016036387
189	0.301522026
190	0.3014913933
191	0.3014714111
192	0.3014215838
193	0.3013941786
194	0.3013162682
195	0.3012456155
196	0.3011618309
197	0.3011440407
198	0.3011017724
199	0.3010440201
200	0.3010073284
201	0.3009578914
202	0.3008083202
203	0.3006642453
204	0.3006204473
205	0.3005846869
206	0.3005307261
207	0.3004981833
208	0.3004824654
209	0.3004548738
210	0.3004270208
211	0.3004133673
212	0.3003260186
213	0.3002167337
214	0.3001341246
215	0.3001003218
216	0.3000462938
217	0.3000129023
218	0.2999622023
219	0.2999421458
220	0.2999221856
221	0.2998884992
222	0.2998158513
223	0.299794071
224	0.299727297
225	0.2996845221
226	0.2996503996
227	0.2995933819
228	0.2995475228
229	0.2995400149
230	0.2995253532
231	0.2994791279
232	0.2994512184
233	0.2994001145
234	0.2993517949
235	0.2992901509
236	0.2992215337
237	0.2991814242
238	0.2991457222
239	0.2990426591
240	0.298962351
241	0.2989205036
242	0.2988808577
243	0.2987689548
244	0.2987582022
245	0.2987210639
246	0.2986423112
247	0.298614604
248	0.2985679402
249	0.2985440527
250	0.2984780067
251	0.2984567051
252	0.2983915772
253	0.2983520367
254	0.2983059477
255	0.2982768869
256	0.2982626852
257	0.2981968519
258	0.2981575594
259	0.2981180036
260	0.2980827909
261	0.2980539046
262	0.2979990075
263	0.2979567247
264	0.2979019876
265	0.2978060706
266	0.2977681032
267	0.2977097446
268	0.2976811632
269	0.2976628852
270	0.2975696937
271	0.2975404138
272	0.2974988148
273	0.2974632175
274	0.2973905755
275	0.297359693
276	0.2972808827
277	0.2972694713
278	0.2972048484
279	0.2971742897
280	0.2971216619
281	0.2970899824
282	0.2970628232
283	0.2969921712
284	0.2969456049
285	0.2968885095
286	0.2968425645
287	0.2968001729
288	0.2967914629
289	0.2967581642
290	0.2967245948
291	0.2967058794
292	0.2966545515
293	0.2966397714
294	0.2965968163
295	0.2965618175
296	0.2965331452
297	0.296479054
298	0.2964328228
299	0.2963832311
300	0.2963307329
301	0.2962847002
302	0.2962344903
303	0.2962089143
304	0.2961686878
305	0.2961439358
306	0.2960243291
307	0.2959899597
308	0.2959427253
309	0.2959182981
310	0.2958816985
311	0.2958386916
312	0.2957922363
313	0.2957567572
314	0.2957236712
315	0.2956946077
316	0.2956739988
317	0.2956198766
318	0.2955848642
319	0.295541103
320	0.2954971551
321	0.2954711857
322	0.2954346003
323	0.2954084635
324	0.2953634118
325	0.2953112413
326	0.295264877
327	0.2952241776
328	0.2952090131
329	0.295141073
330	0.2951307038
331	0.2950896253
332	0.2950433133
333	0.2950344203
334	0.2950258009
335	0.2949736293
336	0.2949507114
337	0.2949132393
338	0.2948550753
339	0.2947757182
340	0.294746497
341	0.2947349069
342	0.2946811089
343	0.2946445331
344	0.2946117607
345	0.294555273
346	0.2945073237
347	0.294489896
348	0.2944838706
349	0.2944684826
350	0.2944190101
351	0.2943822815
352	0.2943733197
353	0.2943485316
354	0.2943216548
355	0.2942889371
356	0.2942622623
357	0.2942482345
358	0.2942212953
359	0.2941858669
360	0.2941516087
361	0.2941106082
362	0.2940561644
363	0.2940407959
364	0.294013538
365	0.2939615894
366	0.2939170713
367	0.2938947049
