iter	Passed	Remaining
0	2	2501
1	4	2450
2	7	2433
3	9	2414
4	12	2406
5	15	2485
6	17	2469
7	19	2471
8	22	2497
9	25	2489
10	27	2472
11	30	2470
12	32	2458
13	34	2440
14	37	2437
15	39	2428
16	41	2416
17	44	2447
18	47	2444
19	49	2434
20	51	2423
21	54	2409
22	56	2405
23	59	2403
24	61	2393
25	63	2396
26	66	2393
27	68	2385
28	71	2380
29	73	2387
30	76	2388
31	78	2389
32	81	2377
33	83	2372
34	85	2369
35	88	2363
36	90	2356
37	92	2349
38	95	2344
39	97	2339
40	99	2332
41	102	2327
42	104	2320
43	106	2314
44	108	2309
45	111	2306
46	113	2301
47	115	2295
48	118	2294
49	120	2288
50	122	2284
51	124	2278
52	127	2273
53	129	2270
54	131	2264
55	134	2262
56	136	2259
57	138	2252
58	140	2247
59	143	2245
60	145	2242
61	147	2235
62	150	2233
63	152	2229
64	154	2226
65	157	2224
66	159	2220
67	161	2219
68	165	2227
69	167	2224
70	169	2219
71	172	2222
72	174	2222
73	178	2230
74	180	2227
75	183	2231
76	186	2235
77	188	2233
78	191	2230
79	193	2225
80	195	2221
81	198	2217
82	200	2216
83	202	2210
84	204	2206
85	207	2205
86	210	2207
87	212	2205
88	215	2201
89	217	2198
90	219	2193
91	221	2190
92	224	2188
93	226	2186
94	229	2182
95	231	2180
96	233	2177
97	236	2175
98	238	2171
99	240	2167
100	243	2163
101	245	2160
102	247	2159
103	250	2161
104	252	2156
105	255	2152
106	257	2148
107	259	2143
108	261	2140
109	264	2137
110	266	2133
111	268	2129
112	270	2126
113	273	2126
114	275	2122
115	278	2119
116	280	2117
117	282	2114
118	285	2110
119	287	2108
120	289	2104
121	291	2101
122	294	2098
123	296	2094
124	298	2090
125	300	2086
126	302	2082
127	305	2081
128	307	2077
129	310	2075
130	312	2073
131	315	2074
132	317	2070
133	319	2067
134	322	2065
135	324	2062
136	327	2060
137	329	2058
138	331	2054
139	333	2050
140	336	2047
141	338	2043
142	340	2040
143	342	2038
144	345	2036
145	347	2033
146	350	2030
147	352	2027
148	354	2023
149	356	2021
150	358	2017
151	361	2014
152	363	2011
153	365	2008
154	367	2005
155	370	2002
156	372	1999
157	374	1996
158	376	1993
159	379	1990
160	381	1987
161	383	1983
162	385	1981
163	388	1978
164	390	1975
165	392	1971
166	395	1974
167	398	1973
168	401	1973
169	403	1969
170	405	1967
171	407	1963
172	410	1962
173	413	1960
174	415	1957
175	417	1953
176	419	1950
177	421	1946
178	423	1942
179	425	1939
180	427	1936
181	430	1934
182	432	1931
183	434	1928
184	437	1926
185	439	1923
186	441	1918
187	443	1916
188	445	1913
189	448	1910
190	450	1907
191	452	1903
192	454	1900
193	456	1896
194	458	1893
195	461	1891
196	463	1887
197	465	1884
198	467	1880
199	469	1877
200	473	1880
201	478	1889
202	481	1889
203	484	1888
204	486	1886
205	488	1883
206	491	1882
207	493	1878
208	495	1875
209	497	1871
210	499	1867
211	501	1863
212	503	1860
213	505	1857
214	508	1854
215	510	1851
216	512	1848
217	514	1845
218	516	1842
219	518	1839
220	520	1835
221	522	1832
222	525	1829
223	526	1825
224	529	1822
225	531	1819
226	533	1816
227	535	1814
228	538	1811
229	540	1808
230	542	1805
231	544	1804
232	547	1800
233	549	1797
234	551	1795
235	553	1793
236	556	1790
237	558	1787
238	560	1785
239	562	1782
240	564	1779
241	567	1776
242	569	1774
243	571	1771
244	573	1768
245	575	1765
246	578	1762
247	580	1759
248	582	1757
249	584	1754
250	587	1751
251	589	1748
252	591	1747
253	593	1744
254	596	1741
255	598	1738
256	600	1735
257	602	1732
258	604	1730
259	606	1727
260	609	1726
261	613	1727
262	616	1728
263	619	1727
264	622	1727
265	625	1726
266	628	1725
267	630	1723
268	634	1723
269	636	1720
270	639	1719
271	642	1718
272	647	1724
273	655	1736
274	658	1735
275	661	1734
276	665	1736
277	667	1734
278	670	1733
279	675	1737
280	679	1737
281	681	1734
282	683	1732
283	685	1729
284	688	1726
285	690	1724
286	692	1721
287	695	1718
288	697	1715
289	699	1712
290	702	1710
291	704	1707
292	707	1706
293	710	1705
294	713	1704
295	715	1702
296	717	1699
297	720	1696
298	722	1693
299	724	1690
300	726	1688
301	729	1685
302	731	1682
303	733	1679
304	735	1676
305	738	1673
306	740	1670
307	742	1667
308	744	1664
309	746	1662
310	749	1659
311	751	1657
312	753	1654
313	756	1652
314	758	1649
315	760	1646
316	763	1644
317	765	1641
318	767	1639
319	770	1636
320	772	1634
321	775	1633
322	778	1630
323	780	1627
324	782	1625
325	785	1623
326	787	1620
327	790	1618
328	792	1615
329	794	1613
330	796	1610
331	799	1607
332	801	1605
333	803	1601
334	805	1598
335	807	1596
336	809	1593
337	812	1590
338	814	1588
339	818	1587
340	820	1585
341	822	1582
342	825	1581
343	828	1580
344	831	1578
345	834	1576
346	836	1574
347	839	1572
348	841	1569
349	843	1565
350	845	1562
351	847	1559
352	849	1556
353	851	1554
354	854	1552
355	856	1549
356	859	1547
357	863	1548
358	867	1548
359	869	1546
360	872	1543
361	874	1541
362	876	1538
363	878	1535
364	881	1533
365	883	1531
366	886	1528
367	888	1525
368	890	1522
369	892	1520
370	895	1517
371	897	1514
372	899	1512
373	901	1509
374	904	1506
375	906	1503
376	908	1501
377	910	1498
378	913	1496
379	915	1494
380	918	1491
381	920	1488
382	922	1485
383	924	1483
384	926	1480
385	929	1478
386	931	1475
387	933	1472
388	935	1469
389	937	1466
390	940	1464
391	942	1461
392	944	1458
393	946	1456
394	948	1453
395	950	1450
396	953	1447
397	955	1445
398	957	1442
399	959	1439
400	962	1437
401	964	1434
402	967	1433
403	970	1431
404	972	1428
405	974	1426
406	977	1423
407	979	1420
408	981	1418
409	983	1415
410	986	1413
411	988	1410
412	990	1407
413	992	1404
414	994	1402
415	997	1399
416	999	1396
417	1001	1394
418	1003	1391
419	1005	1389
420	1008	1386
421	1011	1385
422	1013	1382
423	1016	1380
424	1018	1377
425	1020	1374
426	1023	1373
427	1026	1371
428	1028	1368
429	1030	1365
430	1032	1362
431	1034	1360
432	1036	1357
433	1039	1355
434	1041	1352
435	1043	1350
436	1046	1347
437	1048	1344
438	1050	1342
439	1052	1339
440	1054	1337
441	1057	1334
442	1059	1331
443	1061	1329
444	1063	1326
445	1065	1323
446	1067	1321
447	1070	1318
448	1072	1316
449	1074	1313
450	1076	1310
451	1079	1308
452	1081	1305
453	1083	1302
454	1085	1300
455	1087	1297
456	1089	1295
457	1092	1292
458	1094	1289
459	1096	1287
460	1099	1285
461	1101	1282
462	1103	1280
463	1106	1277
464	1108	1275
465	1110	1272
466	1112	1269
467	1114	1267
468	1117	1264
469	1119	1262
470	1121	1259
471	1123	1257
472	1126	1254
473	1128	1251
474	1132	1251
475	1135	1250
476	1138	1248
477	1141	1246
478	1143	1244
479	1146	1241
480	1148	1239
481	1151	1237
482	1154	1235
483	1157	1234
484	1160	1231
485	1162	1229
486	1164	1226
487	1166	1224
488	1170	1222
489	1172	1220
490	1175	1218
491	1177	1215
492	1180	1213
493	1182	1211
494	1185	1209
495	1188	1207
496	1190	1205
497	1193	1203
498	1195	1200
499	1199	1199
500	1202	1197
501	1205	1195
502	1207	1193
503	1209	1190
504	1212	1188
505	1214	1185
506	1216	1183
507	1219	1180
508	1221	1178
509	1224	1176
510	1228	1175
511	1231	1173
512	1233	1171
513	1236	1168
514	1239	1167
515	1241	1164
516	1244	1162
517	1246	1159
518	1248	1157
519	1251	1154
520	1253	1152
521	1255	1149
522	1257	1147
523	1260	1144
524	1262	1142
525	1264	1139
526	1266	1136
527	1268	1134
528	1271	1131
529	1273	1129
530	1275	1126
531	1277	1123
532	1279	1121
533	1282	1118
534	1284	1116
535	1286	1113
536	1288	1111
537	1291	1108
538	1293	1106
539	1296	1104
540	1298	1101
541	1300	1098
542	1302	1096
543	1304	1093
544	1307	1091
545	1309	1088
546	1311	1086
547	1313	1083
548	1315	1080
